genre,instrument_family,example_count,unique_midi_files,percentage_of_joint_examples
rock,drums,48100,48100,9.217914566604703
rock,bass,46011,46011,8.817577279086256
rock,other,45701,45701,8.75816868208735
rock,guitar,40673,40673,7.794599566892164
rock,piano,36855,36855,7.062915620628198
rock,strings,30938,30938,5.928977980490983
pop,drums,26842,26842,5.144017937563481
pop,other,25832,25832,4.95046089572833
pop,bass,25364,25364,4.860773078323528
pop,piano,21859,21859,4.189072650964911
pop,guitar,21483,21483,4.1170157720243
pop,strings,19823,19823,3.7988923171269238
electronic,drums,17409,17409,3.336271823077366
electronic,other,16591,16591,3.179509783254441
electronic,bass,15074,15074,2.8887909392307543
electronic,piano,12906,12906,2.4733140415093615
electronic,strings,12555,12555,2.4060481784557597
electronic,guitar,10499,10499,2.012035031908166
jazz,piano,5205,5205,0.9974895076752075
jazz,other,4931,4931,0.9449799735535924
jazz,drums,4695,4695,0.8997527835802304
jazz,bass,4351,4351,0.8338284049749909
hip_hop,drums,4193,4193,0.8035491845690961
hip_hop,other,4095,4095,0.784768402292022
jazz,strings,3915,3915,0.7502730879055595
hip_hop,bass,3634,3634,0.6964220693355819
jazz,guitar,3525,3525,0.6755332400682241
hip_hop,guitar,2943,2943,0.563998390218662
hip_hop,piano,2925,2925,0.5605488587800157
hip_hop,strings,2883,2883,0.5524999520898412
